ID,Band Name,Genre,Year Formed,Founded In,Country,N° of Albums,N° of Singles,Newest Album,Year,N°1 Most Popular Album,2° Most Popular Album,3° Most Popular Album,Top Song,2° Top Song,3° Top Song,4° Top Song,5° Top Song,Spotify Listeners,In tour?,When?,Where?
79,Lumsk,Folk Metal,1999,"Trondheim, NO",Norway,3,2,Det vilde kor,2007,Åsmund Frægdegjevar,Det vilde kor,Troll,Ormin Lange,I trollehender,Om hundrede aar er alting glemt,Dunker,Trolltind,10604,No,0,
80,Manowar,Heavy/Power Metal,1980,"Auburn, US",United States,13,14,Kings of Metal MMXIV,2014,Kings of Metal,Fighting the World,Battle Hymns,Hail and Kill,Kings of Metal,Fighting the World,Heart of Steel,Battle Hymn,866009,Yes,2023,EU
81,Medieval Rites,Medieval Ambient/Orchestral,0,,,26,0,Yggdrasil> The World Tree,2021,Poetic Edda Winds of the North,Poetic Edda Norsemen Tales,Valhalla,"Frigga, Goddess of Marriage and Prophecy",Epic Viking Battle Music,"Brighid, Hearth Goddess of Ireland",Playing Bards,"Hel, Godess of the Underworld",788,No,0,
82,Menhir,Pagan Black Metal,1995,"Breitungen, DE",Germany,4,0,Hildebrandslied,2017,Hildebrandslied,	Ziuwari,Thuringia,Das Hilderbrandslied Teil 1,Das alte Lied des Windes,Das Hilderbrandslied Teil 2,Wotans Runenlied,Weit in der Ferne,1482,No,0,
83,Mistur,Folk/Viking/Black Metal,2003,"Kaupanger, NO",Norway,2,1,In Memoriam,2016,Attende,In Memoriam,,Downfall,Matriarchs Lament,The SIght,Distant Peaks,Attende,4626,No,0,
84,My Dying Bride,Doom Metal,1990,"Halifax, UK",United Kingdom,12,14,The Ghost of Orion,2020,The Ghost of Orion,Feel the Misery,"Songs Of Darkness, Words Of Light",Your Broken Shore,My Wine In Silence,And My Father Left Forever,For My Fallen Angel,A Secret Kiss,76625,Yes,2022,EU
85,Myrkgrav,Blackened Folk/Viking Metal,2003,"Åsa, NO",Norway,2,2,Takk og farvel; tida er blitt ei annen,2016,Takk og farvel; tida er blitt ei annen,"Trollskau, skrømt og kølabrenning",,Skjøn jomfru,Om å danse bekhette,Spålsnatt,Tørrhard,Tre skygger tel kølabrennern kom,19144,No,0,
86,Månegarm,Viking/Black/Folk Metal,1995,"Norrtälje, SE",Sweden,10,1,Ynglingaättens öde,2022,Vargstenen,Dödsfärd,Månegarm,Odin Owns Ye All,"Nattsjäl, drömsjäl",Hemfärd,Blodörn,En snara av guld,43834,No,0,
87,Mærer,Black/Doom Metal,2019,"Halle, DE",Germany,0,3,,0,,,,I / IV - Vom Ende,II / IV - Jener Zeiten,III / IV - Verfasstes Leiden,IV / IV - Im Buche die letzten Zeilen,,408,No,0,
88,Nomans Land,Viking Metal,1996,"St. Petersburg, RU ",Russia,5,2,Last Crusade,2015,Last Crusade,Farnord,Raven Flight,Victory Horns,Sons of the Nord,Right to Luck,Valkyrie,Strains at the Oars,944,No,0,
89,Northland,Folk/Melodic Death,2004,"Barcelona, ES",Spain,2,0,Downfall and Rebirth,2015,Northland,Downfall and Rebirth,,When Nature Awakes,Bloodred Sunrise,Together We Die,Moonslight Spell,Spirit in Darkness,11092,No,0,
90,Nothgard,Epic Melodic Death,2009,"Deggend, DE",Germany,5,3,Malady X,2018,Warhorns of Midgard,The Sinner's Sake,Age of Pandora,Lightcrawler,Malady X,Epitaph,Dominion of Cain,Age of Pandora,24166,No,0,
91,Orden Ogan,Power Metal,1996,"Arnsberg, DE",Germany,7,18,Final Days,2021,Ravenhead,Gunmen,To the End,Gunman,F.E.V.E.R,Come with Me to the Other Side,The Things We Belive In,Heart of the Android,309844,Yes,2022/2023,EU
92,Percival,Epic Heavy Metal,2015,"Buenos Aires, AR",Argentina,1,1,Riders of the Sun,2021,Riders of the Sun,,,Riders of the Sun,Twilight of the Gods,Across the Sea,Raise Your Arms,Defender of Troy,508,No,0,
93,Phönix,Historic Metal,0,", DE",Germany,2,0,Germania,2016,PflichterfüllungI,Germania,,PflichterfüllungI,Germania,Panzer vor,Wir sind im Krieg,Rückschritt ist Fortschritt,21488,No,0,
94,Powerwolf,Power Metal,2004,"Saarbrüchen, DE",Germany,10,18,Call of the Wild,2021,Bible of the Beast,Blessed & Possesed,Blood of the Saints,We Drink Your Blood,Army of the Night,Sanctified with Dynamite,Demons Are a Girls Best Friend,Night of the Werewolves,1264665,Yes,2022,EU
95,Prima Nocta,Neo Folk,0,", BE",Belgium,4,0,Flag of the Greenman,2021,Lost in Time,Nocturnal Dawn,Moonshine,Ötzi,Stones and Metal,Baudica,Fenrir,Spirits of the Woods,21382,,0,
96,Rebellion,Heavy/Power Metal,2001,"Frankfurt, DE",Germany,9,3,We Are the People,2021,Arise: From Ginnungagap to Ragnarök - The History of the Vikings Volume III,Miklagard - The History of the Vikings - Volume II	,Sagas of Iceland - The History of the Vikings - Volume I,The Clans Are Marching,Arise,God of Thunder,Sweden,VI Seglar Mot Miklagard,55411,Yes,2022,EU
97,Rúnahild,Folk,0,",NO",Norway,7,0,Wounded Healer,2020,Seidfylgjur,Sedsang,Seidrúnar,Seidrünar,Seidfylgjur,Fra Stjerner Til Jorda,Ørnedans,The Flight,32442,No,0,
98,Sabaton,Power Metal/Historic Metal,1993,"Falu, SE",Sweden,11,27,The Symphony to End All Wars,2022,The Great War,Primo Victoria,The Last Stand,Bismarck,Stormtroopers,Panzer Battalion,To Hell and Back,Primo Victoria,2653268,Yes,2022,US
99,Skjaldar,Pagan Metal,2011,"Bayereuth, DE",Germany,2,0,Re:vision,2018,Weltenbruch,Re:vison,,Fest der Ahnen,Alter Wächter,Skadi,Monument des Schattens,Niedergang,36,No,0,
